,gene1,gene2,Both mutated,Gene 1 Mutated,Gene 2 Mutated,Niether mutated,Odds ratio,P value
0,ASXL1,ASXL1,7,0,0,117,inf,1.3284595160612879e-11
1,ASXL1,PIK3CA,0,7,2,115,0.0,1.0
2,ASXL1,FOXO1,0,7,3,114,0.0,1.0
3,ASXL1,CALR,0,7,2,115,0.0,1.0
4,ASXL1,JAK2,0,7,3,114,0.0,1.0
5,ASXL1,SGK1,0,7,3,114,0.0,1.0
6,ASXL1,FGFR3,0,7,1,116,0.0,1.0
7,ASXL1,PRDM1,0,7,4,113,0.0,1.0
8,ASXL1,CREBBP,1,6,3,114,6.333333333333333,0.20973172980874305
9,ASXL1,RUNX1,0,7,3,114,0.0,1.0
10,ASXL1,NFKB2-B2M,0,7,1,116,0.0,1.0
11,ASXL1,IKZF3,0,7,1,116,0.0,1.0
12,ASXL1,EP300,1,6,9,108,2.0,0.453380623407245
13,ASXL1,MTOR,1,6,0,117,inf,0.0564516129032258
14,ASXL1,STAT3,0,7,2,115,0.0,1.0
15,ASXL1,BCOR,1,6,4,113,4.708333333333333,0.2558307122365663
16,ASXL1,STX11,0,7,4,113,0.0,1.0
17,ASXL1,CDKN2B,0,7,2,115,0.0,1.0
18,ASXL1,NF1,0,7,6,111,0.0,1.0
19,ASXL1,BCL6,0,7,3,114,0.0,1.0
20,ASXL1,NOTCH1,1,6,2,115,9.583333333333334,0.1612064851478763
21,ASXL1,ALK,0,7,1,116,0.0,1.0
22,ASXL1,MEF2BNB-MEFB,1,6,1,116,19.333333333333332,0.11014948859166011
23,ASXL1,CARD11,0,7,5,112,0.0,1.0
24,ASXL1,CD58,0,7,1,116,0.0,1.0
25,ASXL1,SF3B1,0,7,1,116,0.0,1.0
26,ASXL1,PPM1D,1,6,3,114,6.333333333333333,0.20973172980874305
27,ASXL1,IGHG3-CCND1,0,7,1,116,0.0,1.0
28,ASXL1,SH2B3,0,7,3,114,0.0,1.0
29,ASXL1,CIITA,0,7,3,114,0.0,1.0
30,ASXL1,BCL2,0,7,2,115,0.0,1.0
31,ASXL1,PTPN11,0,7,1,116,0.0,1.0
32,ASXL1,KMT2A,1,6,3,114,6.333333333333333,0.20973172980874305
33,ASXL1,ITK,0,7,4,113,0.0,1.0
34,ASXL1,PAX5,0,7,2,115,0.0,1.0
35,ASXL1,ATM,0,7,3,114,0.0,1.0
36,ASXL1,CD83,0,7,2,115,0.0,1.0
37,ASXL1,CCND1,0,7,1,116,0.0,1.0
38,ASXL1,PD-1,1,6,1,116,19.333333333333332,0.11014948859166011
39,ASXL1,GNA13,0,7,1,116,0.0,1.0
40,ASXL1,EZH2,1,6,0,117,inf,0.0564516129032258
41,ASXL1,BCR,0,7,3,114,0.0,1.0
42,ASXL1,ID3,1,6,1,116,19.333333333333332,0.11014948859166011
43,ASXL1,KIT,0,7,2,115,0.0,1.0
44,ASXL1,PIK3CD,0,7,1,116,0.0,1.0
45,ASXL1,MYC,0,7,2,115,0.0,1.0
46,ASXL1,IL7R,0,7,1,116,0.0,1.0
47,ASXL1,ZRSR2,0,7,4,113,0.0,1.0
48,ASXL1,NOTCH2,0,7,2,115,0.0,1.0
49,ASXL1,IRF8,0,7,4,113,0.0,1.0
50,ASXL1,TP53 gene,0,7,7,110,0.0,1.0
51,ASXL1,KRAS,0,7,8,109,0.0,1.0
52,ASXL1,NRAS,0,7,7,110,0.0,1.0
53,ASXL1,PDL2,0,7,5,112,0.0,1.0
54,ASXL1,BRAF,0,7,2,115,0.0,1.0
55,ASXL1,EGR1,0,7,5,112,0.0,1.0
56,ASXL1,TET2,1,6,20,97,0.8083333333333333,1.0
